交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期满仓基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
40,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,2.7500000000000098,0.0,是,是,已平仓
41,2025-07-21,2025-07-25,2025-07-25,空头,-1.0,1.0,5,6.11999999999998,-6.11999999999998,12.23999999999996,是,是,已平仓
42,2025-08-18,2025-08-29,2025-08-29,空头,-1.0,1.0,10,16.829999999999,-16.829999999999,33.659999999998,是,是,已平仓
43,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009895,-0.9200000000009895,0.0,否,是,已平仓
44,2025-11-10,2025-11-14,2025-11-14,多头,1.0,1.0,5,-0.11000000000000593,-0.11000000000000593,0.0,否,是,已平仓
45,2025-11-24,2025-11-28,2025-11-28,空头,-1.0,1.0,5,4.930000000000004,-4.930000000000004,9.860000000000008,是,是,已平仓
46,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-2.109999999999994,0.0,否,是,已平仓
47,2026-03-02,2026-03-06,2026-03-06,空头,-1.0,1.0,5,-0.9199999999990118,0.9199999999990118,-1.8399999999980237,否,是,已平仓
48,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999609,-0.09999999999999609,0.0,否,是,已平仓
49,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000103,0.6000000000000103,0.0,是,是,已平仓
50,2026-05-18,2026-05-22,2026-05-22,多头,1.0,1.0,5,1.7400000000000053,1.7400000000000053,0.0,是,是,已平仓
